name,vehicleModelDate,value_mileage,model,bodyType,fuelType,seatingCapacity,color,price,addressLocality,addressRegion,transmision
Hyundai,2023,32500,Stargazer,MPV,Petrol,7,Abu-abu,185000000,Jakarta Pusat,Jabodetabek,AT
Toyota,2013,117000,Avanza,MPV,Petrol,7,Putih,130000000,Bandung,Jawa - Bali,MT
Lexus,2018,26000,NX 300,SUV,Petrol,5,Hitam,570000000,Bandung,Jawa - Bali,AT
Chevrolet,2019,35000,TRAX,SUV,Petrol,5,Merah,197000000,Bandung,Jawa - Bali,AT
Hyundai,2022,17000,Stargazer,MPV,Petrol,7,Putih,232000000,Bandung,Jawa - Bali,AT
BMW,2023,3000,M2,Coupe,Petrol,4,Hitam,1825000000,Jakarta Utara,Jabodetabek,MT
Honda,2018,87500,Mobilio,MPV,Petrol,7,Putih,175000000,Malang,Jawa - Bali,AT
Toyota,2024,17500,Kijang Innova Zenix,MPV,Petrol,8,Hitam,469000000,Tangerang,Jabodetabek,AT
Hyundai,2022,32500,IONIQ 5,SUV,Electric,5,Abu-abu,455000000,Jakarta Utara,Jabodetabek,AT
Mercedes-Benz,2013,47500,E250,Coupe,Petrol,4,Merah,499000000,Jakarta Barat,Jabodetabek,AT
Suzuki,2024,12500,Grand Vitara,SUV,Hybrid,5,Putih,308000000,Bekasi,Jabodetabek,AT
Honda,2022,32500,City,Hatchback,Petrol,5,Abu-abu,219000000,Jakarta Selatan,Jabodetabek,AT
Honda,2022,32500,City,Hatchback,Petrol,5,Abu-abu,219000000,Jakarta Selatan,Jabodetabek,AT
Chery,2023,2500,Omoda 5,SUV,Petrol,5,Putih,279000000,Jakarta Utara,Jabodetabek,AT
Honda,2019,60000,Brio,Hatchback,Petrol,5,Merah,147500000,Bandung,Jawa - Bali,AT
Toyota,2012,121000,Fortuner,SUV,Diesel,7,Hitam,257000000,Bandung,Jawa - Bali,MT
Mercedes-Benz,2015,26000,GL400,SUV,Petrol,7,Hitam,787500000,Bandung,Jawa - Bali,AT
Toyota,2023,42000,Kijang Innova Zenix,MPV,Petrol,7,Putih,538000000,Bandung,Jawa - Bali,AT
Honda,2022,31000,City,Hatchback,Petrol,5,Abu-abu,235000000,Bandung,Jawa - Bali,AT
Toyota,2024,14000,Fortuner,SUV,Diesel,7,Hitam,570000000,Bandung,Jawa - Bali,AT
Toyota,2013,160000,Rush,SUV,Petrol,5,Silver,140000000,Bandung,Jawa - Bali,AT
KIA,2014,85000,Rio,Hatchback,Petrol,5,Abu-abu,130000000,Bandung,Jawa - Bali,AT
Honda,2021,14000,City,Hatchback,Petrol,5,Merah,238000000,Bandung,Jawa - Bali,AT
BMW,2014,68000,320i,Sedan,Petrol,5,Putih,285000000,Bandung,Jawa - Bali,AT
Toyota,1997,185000,Corolla,Sedan,Petrol,5,Abu-abu,60000000,Bandung,Jawa - Bali,MT
Toyota,2019,66000,Alphard,MPV,Petrol,7,Putih,805000000,Bandung,Jawa - Bali,AT
Toyota,2011,109000,Avanza,MPV,Petrol,7,Hitam,105000000,Bandung,Jawa - Bali,MT
Honda,2021,56000,City,Hatchback,Petrol,5,Merah,235000000,Bandung,Jawa - Bali,AT
Mercedes-Benz,2017,37500,GLE400,SUV,Petrol,5,Hitam,525000000,Jakarta Utara,Jabodetabek,AT
Honda,2013,80000,Brio,Hatchback,Petrol,5,Putih,120000000,Bandung,Jawa - Bali,AT
Toyota,2017,52500,Kijang Innova,MPV,Petrol,8,Hitam,235000000,Jakarta Selatan,Jabodetabek,AT
Chevrolet,2017,77500,Captiva,SUV,Diesel,7,Putih,220000000,Tangerang,Jabodetabek,AT
Mercedes-Benz,2013,79000,B200,Hatchback,Petrol,5,Hitam,168500000,Bandung,Jawa - Bali,AT
Suzuki,2018,70000,Ignis,SUV,Petrol,5,Merah,126000000,Bandung,Jawa - Bali,MT
Toyota,2009,105000,Vellfire,MPV,Petrol,7,Hitam,237500000,Bandung,Jawa - Bali,AT
Toyota,2019,30000,Camry,Sedan,Petrol,5,Silver,382000000,Bandung,Jawa - Bali,AT
Daihatsu,2019,27500,Sigra,MPV,Petrol,7,Putih,99000000,Tangerang,Jabodetabek,MT
Toyota,2021,62500,Raize,SUV,Petrol,5,Abu-abu,175000000,Tangerang,Jabodetabek,AT
Suzuki,2022,67500,XL7,SUV,Petrol,7,Putih,210000000,Depok,Jabodetabek,AT
Volkswagen,2021,32500,Tiguan,SUV,Petrol,5,Hitam,338000000,Jakarta Selatan,Jabodetabek,AT
Hyundai,2022,52500,Creta,SUV,Petrol,5,Putih,280000000,Jakarta Selatan,Jabodetabek,AT
BMW,2023,12500,430i,Convertible,Petrol,4,Hijau,1475000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2021,42500,Rush,SUV,Petrol,7,Hitam,198000000,Tangerang,Jabodetabek,AT
Toyota,2021,87500,Avanza,MPV,Petrol,7,Abu-abu,175000000,Surabaya,Jawa - Bali,AT
Toyota,2014,162500,Kijang Innova,MPV,Diesel,8,Hitam,245000000,Surabaya,Jawa - Bali,AT
Toyota,2017,102500,Vellfire,MPV,Petrol,7,Hitam,523000000,Tangerang,Jabodetabek,AT
Daihatsu,2023,17500,Sigra,MPV,Petrol,7,Putih,117000000,Bekasi,Jabodetabek,MT
Mazda,2018,77500,CX-3,SUV,Petrol,5,Putih,240000000,Tangerang,Jabodetabek,AT
BMW,2020,17500,X7,Wagon,Petrol,7,Hitam,1250000000,Jakarta Selatan,Jabodetabek,AT
Honda,2014,92500,Jazz,Hatchback,Petrol,5,Hitam,158000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2019,92500,Fortuner,SUV,Diesel,7,Putih,389000000,Jakarta Utara,Jabodetabek,AT
